field,plain_english,units,computed_by
RBC1AAJ,"Tier 1 leverage ratio -- core capital as a share of assets, with no adjustment for how risky those assets are. A regulatory minimum.",percent,"the bank, on its Call Report"
RBCRWAJ,Total capital as a share of assets weighted by how risky each one is. Blank for banks that elected the simplified regime.,percent,"the bank, on its Call Report"
EQV,Equity as a share of assets. The simplest measure of how much of the bank is funded by its owners rather than borrowed.,percent,the FDIC
ROAQ,"Profit as a share of assets, annualised. How much the bank earns on what it holds.",percent,the FDIC
NIMY,"Net interest margin -- the gap between what the bank earns on loans and pays on deposits, as a share of earning assets.",percent,the FDIC
EEFFR,"Efficiency ratio: running costs as a share of revenue. LOWER is better here, unlike most of this list.",percent,the FDIC
P3CRCD,"Credit cards: 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
P9CRCD,"Credit cards: 90+ days past due, still accruing, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Seriously late, though the bank still expects to collect.",thousands of dollars,"the bank, on its Call Report"
NACRCD,"Credit cards: on nonaccrual, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. The bank has stopped booking interest -- it does not expect to collect in full.",thousands of dollars,"the bank, on its Call Report"
P3AUTO,"Car loans: 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
P9AUTO,"Car loans: 90+ days past due, still accruing, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Seriously late, though the bank still expects to collect.",thousands of dollars,"the bank, on its Call Report"
NAAUTO,"Car loans: on nonaccrual, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. The bank has stopped booking interest -- it does not expect to collect in full.",thousands of dollars,"the bank, on its Call Report"
P3RERES,"Home loans (1-4 family): 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
P9RERES,"Home loans (1-4 family): 90+ days past due, still accruing, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Seriously late, though the bank still expects to collect.",thousands of dollars,"the bank, on its Call Report"
NARERES,"Home loans (1-4 family): on nonaccrual, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. The bank has stopped booking interest -- it does not expect to collect in full.",thousands of dollars,"the bank, on its Call Report"
P3RELOC,"Home equity lines: 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
P9RELOC,"Home equity lines: 90+ days past due, still accruing, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Seriously late, though the bank still expects to collect.",thousands of dollars,"the bank, on its Call Report"
NARELOC,"Home equity lines: on nonaccrual, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. The bank has stopped booking interest -- it does not expect to collect in full.",thousands of dollars,"the bank, on its Call Report"
P3CONOTH,"Other consumer loans: 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
P9CONOTH,"Other consumer loans: 90+ days past due, still accruing, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Seriously late, though the bank still expects to collect.",thousands of dollars,"the bank, on its Call Report"
NACONOTH,"Other consumer loans: on nonaccrual, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. The bank has stopped booking interest -- it does not expect to collect in full.",thousands of dollars,"the bank, on its Call Report"
LNCRCD,Credit card balances outstanding.,thousands of dollars,"the bank, on its Call Report"
LNAUTO,Auto loans to individuals.,thousands of dollars,"the bank, on its Call Report"
LNCONOTH,Other consumer loans -- personal loans and instalment credit that are not cards or autos.,thousands of dollars,"the bank, on its Call Report"
LNRERES,Loans on one-to-four family homes -- mortgages and home equity lines.,thousands of dollars,"the bank, on its Call Report"
LNRELOC,"Home equity lines of credit -- revolving credit secured by 1-4 family homes, drawn balances. This sits INSIDE the residential real estate loans figure rather than beside it, so adding the two double-counts.",thousands of dollars,"the bank, on its Call Report"
NTCRCDQ,"Credit cards: net charge-offs, annualised, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Loans actually written off during the quarter, less anything recovered, scaled to a yearly rate.",thousands of dollars,"the bank, on its Call Report"
NTAUTOQ,"Car loans: net charge-offs, annualised, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Loans actually written off during the quarter, less anything recovered, scaled to a yearly rate.",thousands of dollars,"the bank, on its Call Report"
NTCONOTQ,"Other consumer loans: net charge-offs, annualised, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Loans actually written off during the quarter, less anything recovered, scaled to a yearly rate.",thousands of dollars,"the bank, on its Call Report"
NTRERESQ,"Home loans (1-4 family): net charge-offs, annualised, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Loans actually written off during the quarter, less anything recovered, scaled to a yearly rate.",thousands of dollars,"the bank, on its Call Report"
P3CI,"Business loans: 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
P9CI,"Business loans: 90+ days past due, still accruing, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Seriously late, though the bank still expects to collect.",thousands of dollars,"the bank, on its Call Report"
NACI,"Business loans: on nonaccrual, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. The bank has stopped booking interest -- it does not expect to collect in full.",thousands of dollars,"the bank, on its Call Report"
P3RECONS,"Construction and land loans: 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
P9RECONS,"Construction and land loans: 90+ days past due, still accruing, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Seriously late, though the bank still expects to collect.",thousands of dollars,"the bank, on its Call Report"
NARECONS,"Construction and land loans: on nonaccrual, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. The bank has stopped booking interest -- it does not expect to collect in full.",thousands of dollars,"the bank, on its Call Report"
P3RENRES,"Commercial property loans (offices, shops, warehouses): 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
P9RENRES,"Commercial property loans (offices, shops, warehouses): 90+ days past due, still accruing, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Seriously late, though the bank still expects to collect.",thousands of dollars,"the bank, on its Call Report"
NARENRES,"Commercial property loans (offices, shops, warehouses): on nonaccrual, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. The bank has stopped booking interest -- it does not expect to collect in full.",thousands of dollars,"the bank, on its Call Report"
P3REMULT,"Apartment-building loans (5+ units): 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
P9REMULT,"Apartment-building loans (5+ units): 90+ days past due, still accruing, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Seriously late, though the bank still expects to collect.",thousands of dollars,"the bank, on its Call Report"
NAREMULT,"Apartment-building loans (5+ units): on nonaccrual, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. The bank has stopped booking interest -- it does not expect to collect in full.",thousands of dollars,"the bank, on its Call Report"
LNCI,Commercial and industrial loans -- lending to businesses not secured by property.,thousands of dollars,"the bank, on its Call Report"
NTRECONQ,"Construction and land loans: net charge-offs, annualised, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Loans actually written off during the quarter, less anything recovered, scaled to a yearly rate.",thousands of dollars,"the bank, on its Call Report"
NTREMULQ,"Apartment-building loans (5+ units): net charge-offs, annualised, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Loans actually written off during the quarter, less anything recovered, scaled to a yearly rate.",thousands of dollars,"the bank, on its Call Report"
NTCIQ,"Business loans: net charge-offs, annualised, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Loans actually written off during the quarter, less anything recovered, scaled to a yearly rate.",thousands of dollars,"the bank, on its Call Report"
DEPUNINS,Estimated uninsured deposits -- the part of deposits above the FDIC insurance limit.,thousands of dollars,"the bank, on its Call Report"
SCHA,"Held-to-maturity securities at amortised cost -- bonds the bank intends to keep, carried at what it paid.",thousands of dollars,"the bank, on its Call Report"
SCHF,Held-to-maturity securities at fair value -- the same bonds at today's market price.,thousands of dollars,"the bank, on its Call Report"
SCAA,"Available-for-sale securities at amortised cost -- bonds the bank may sell, at what it paid.",thousands of dollars,"the bank, on its Call Report"
SCAF,Available-for-sale securities at fair value -- the same bonds at today's market price.,thousands of dollars,"the bank, on its Call Report"
OTHBFHLB,"Federal Home Loan Bank advances -- borrowings from the FHLB, a wholesale funding source.",thousands of dollars,"the bank, on its Call Report"
UCCRCD,"Unused credit card lines -- credit the bank has promised on cards and customers have not drawn. It is not lent yet and it can be drawn tomorrow, which is why it is worth watching separately from the balance.",thousands of dollars,"the bank, on its Call Report"
UCLOC,"Unused home equity lines -- the undrawn part of revolving credit secured by someone's home. Same idea as the card lines: promised, not yet drawn.",thousands of dollars,"the bank, on its Call Report"
DRRENRSQ,"Charge-offs this quarter on commercial property loans (nonfarm nonresidential) -- amounts the bank gave up on and wrote off. Gross, before anything came back.",thousands of dollars,"the bank, on its Call Report"
CRRENRSQ,Recoveries this quarter on commercial property loans -- money that came back on amounts already written off.,thousands of dollars,"the bank, on its Call Report"
NTRELOCQ,Net charge-offs this quarter on home equity lines -- written off less recovered.,thousands of dollars,"the bank, on its Call Report"
RBC,"Total risk-based capital -- the capital the bank counts against its risk-weighted assets, as the regulator defines it. The numerator of the total capital ratio.",thousands of dollars,"the bank, on its Call Report"
ORE,"Other real estate owned -- property the bank has taken back, usually after a borrower defaulted. A bank is not in the business of owning buildings, so a rising figure is a sign about the loans it came from.",thousands of dollars,"the bank, on its Call Report"
INTAN,"Intangible assets -- goodwill and similar, mostly created by paying more than book value in an acquisition. It is on the balance sheet and it absorbs no losses, which is why capital rules subtract most of it.",thousands of dollars,"the bank, on its Call Report"
UCCOMRES,"Unused construction commitments -- money promised for building work, on 1-4 family homes and on other construction, that has not been drawn down yet.",thousands of dollars,"the bank, on its Call Report"
UCCOMREU,"Unused commercial real estate commitments NOT secured by property -- promised and undrawn, and without the building standing behind it.",thousands of dollars,"the bank, on its Call Report"
UCOTHER,"Other unused commitments -- promised and undrawn credit to businesses and other borrowers, outside cards, home equity and construction.",thousands of dollars,"the bank, on its Call Report"
LNNDEPD,"Loans to nondepository financial institutions -- lending to finance companies, funds and other lenders rather than to businesses or households. Domestic offices only, which is what the FDIC publishes.",thousands of dollars,"the bank, on its Call Report"
RSLNLTOT,"Restructured loans, total -- loans whose terms were changed because the borrower was in financial difficulty, and which are still being paid under the new terms. Trouble that has been rescheduled rather than realised.",thousands of dollars,"the bank, on its Call Report"
RSLNREFM,Restructured home loans (1-4 family) -- the part of the restructured total secured by houses.,thousands of dollars,"the bank, on its Call Report"
RSCI,Restructured commercial and industrial loans -- the part of the restructured total lent to businesses for general purposes.,thousands of dollars,"the bank, on its Call Report"
RSCONS,Restructured consumer loans -- the part of the restructured total lent to individuals.,thousands of dollars,"the bank, on its Call Report"
RSMULT,Restructured multifamily loans -- the part of the restructured total secured by buildings of five or more homes.,thousands of dollars,"the bank, on its Call Report"
RSOTHER,"Restructured loans, all other -- everything in the restructured total that is not covered by the named classes above.",thousands of dollars,"the bank, on its Call Report"
NARSNRES,"Restructured commercial property loans that are ALSO on nonaccrual -- restructured, and the bank has stopped booking interest anyway. The rescheduling did not hold.",thousands of dollars,"the bank, on its Call Report"
